gene	mean	median	longest_isoform	merged
Xkr4	3634	3634	3634	3634
Rp1	5277	5277	7508	9747
Sox17	3384	3288	4071	4095
Mrpl15	2626	1916	4201	4201
Lypla1	2433	2433	2433	2433
Tcea1	2634	2668	2671	2847
Rgs20	1870	1778	2125	2513
Atp6v1h	1976	1976	1976	1976
Oprk1	4692	4692	4707	4707
Npbwr1	3692	3692	3692	3692
Rb1cc1	7046	7046	7046	7046
Fam150a	858	858	858	858
St18	5815	5820	5898	6161
Pcmtd1	5232	5232	5232	5232
Sntg1	7180	7233	7262	7262
Rrs1	2048	2048	2048	2048
Adhfe1	3118	3118	3139	3139
2610203C22Rik	1245	1245	1245	1245
3110035E14Rik	3187	3187	3187	3187
Mybl1	4894	4894	4984	4984
Vcpip1	9749	9749	9749	9749
1700034P13Rik	1494	1494	1494	1494
Sgk3	5439	5408	5515	5620
Mcmdc2	2553	2553	2553	2553
Snhg6	407	407	407	407
Snord87	74	74	74	74
Tcf24	3746	3746	3746	3746
Ppp1r42	1288	1288	1427	1442
Cops5	1650	1731	1739	1739
Cspp1	4354	4354	4354	4354
Arfgef1	7042	7042	7042	7042
Cpa6	1877	1877	1940	1940
Mir467e	55	55	55	55
Prex2	8795	8795	11054	11187
A830018L16Rik	4638	4478	6815	8293
Mir6341	121	121	121	121
Gm17644	3200	3200	3200	3200
Sulf1	4588	4609	4625	4864
Slco5a1	8511	8511	8511	8511
Prdm14	2593	2593	2593	2593
Ncoa2	8214	8214	8267	8514
Tram1	2943	2943	2943	2943
Lactb2	1887	1887	1887	1887
Xkr9	1926	1926	1926	1926
Gm5523	1245	1245	1245	1245
Eya1	4272	4272	4330	4345
Msc	1717	1717	1717	1717
Trpa1	4263	4263	4263	4263
Kcnb2	5309	5309	5309	5309
Terf1	2224	2224	2268	2268
Sbspon	2748	2748	2748	2748
4930444P10Rik	1422	1422	1844	1844
Rpl7	933	933	933	933
Rdh10	2295	2295	2295	2295
Stau2	2824	2824	2890	2890
Ube2w	2692	3047	3138	4224
Tceb1	955	955	955	955
D030040B21Rik	2788	2788	2788	2788
Tmem70	1730	1730	1732	1732
Ly96	576	576	603	603
Jph1	4807	4807	4807	4807
Gdap1	3937	3937	3937	3937
Pi15	6923	6923	6923	6923
Gm16070	2264	2264	2264	2264
Crispld1	4006	4006	4006	4006
Crisp4	1192	1192	1192	1192
Defb44-ps	222	222	222	222
Defb18	258	258	258	258
Defb41	469	469	469	469
Gm15386	256	256	256	256
Tfap2d	1747	1747	1747	1747
Tfap2b	5376	6132	6167	6502
Pkhd1	12928	12928	12928	12928
4930486I03Rik	786	786	786	786
Linc-md1	521	521	521	521
Mir206	73	73	73	73
Mir133b	119	119	119	119
Il17a	1171	1171	1171	1171
Il17f	1178	1178	1178	1178
Mcm3	2886	2886	2886	2886
6720483E21Rik	1120	1120	1120	1120
Paqr8	4420	4420	4420	4420
Efhc1	2208	2208	2208	2208
Tram2	1390	1390	1390	1390
Tmem14a	1259	1259	1351	1351
Gsta3	1453	1470	1515	1610
Gm4956	1148	1148	1148	1148
Khdc1a	1950	1950	1950	1950
Khdc1c	844	844	844	844
Khdc1b	2247	2247	2247	2247
Kcnq5	6951	6951	6980	6980
Rims1	1974	1899	2189	4067
4933415F23Rik	1780	1780	1780	1780
Mir30a	71	71	71	71
Mir30c-2	84	84	84	84
Ogfrl1	4844	4844	4844	4844
B3gat2	4355	4355	4355	4355
Smap1	2107	2083	2353	2960
Sdhaf4	667	667	667	667
Fam135a	6467	6467	6467	6467
Col9a1	3492	3492	3888	4143
Col19a1	10542	10542	10542	10542
Lmbrd1	5392	5392	5392	5392
Adgrb3	5522	5522	5522	5522
Gm20172	1551	1551	1551	1551
4931408C20Rik	4331	4331	4331	4331
Gm597	2882	2882	2882	2882
Mir6342	125	125	125	125
Phf3	7561	7561	7561	7561
Ptp4a1	4129	4129	4129	4129
Gm13363	2784	2784	2784	2784
4931428L18Rik	1094	1094	1094	1094
Lgsn	1903	1903	1903	1903
Pih1d3	1449	1449	1449	1449
Gm4850	914	914	914	914
Khdrbs2	1359	1359	1359	1359
Gm9839	1437	1437	1437	1437
Gm5415	3748	3748	3748	3748
Prim2	1976	1976	1976	1976
1700001G17Rik	889	889	889	889
Rab23	4265	4265	4321	4487
Bag2	1815	1815	1815	1815
Zfp451	3299	3792	4030	5684
Gm15455	3016	3016	3016	3016
Bend6	2292	2292	2292	2292
Dst	18380	20231	24271	30001
Mir6896	73	73	73	73
Mir5103	79	79	79	79
Ccdc115	1705	1705	1705	1705
Imp4	2249	2249	2249	2249
Ptpn18	1573	1573	1573	1573
Prss39	1246	1246	1246	1246
Cfc1	1038	1038	1038	1038
Prss40	1301	1301	1301	1301
Amer3	4356	4356	4356	4356
AA619741	2676	2676	2676	2676
Arhgef4	2714	2714	2714	2714
Fam168b	5042	5044	5059	5080
Plekhb2	3055	3055	3317	5469
Hs6st1	3719	3719	3719	3719
Uggt1	9029	9029	9029	9029
Mir6897	62	62	62	62
Neurl3	2583	2583	2583	2583
Arid5a	5644	5637	5794	5794
Kansl3	4663	4663	4663	4663
Mir6898	77	77	77	77
Fer1l5	6318	6318	6318	6318
Lman2l	2225	2225	2225	2225
Cnnm4	4582	4582	4582	4582
Cnnm3	5233	5233	5283	5283
Ankrd23	1954	1954	1954	1954
Ankrd39	1786	1786	1786	1786
Sema4c	3791	3808	3923	4292
Fam178b	1617	1664	2282	2569
Cox5b	569	569	569	569
Actr1b	2077	2077	2077	2077
4933424G06Rik	1127	1127	1127	1127
Zap70	2033	2251	2290	2721
Tmem131	6548	6548	6548	6548
Cnga3	3581	3581	3609	3832
Inpp4a	4110	3004	5862	7000
Coa5	3862	3862	3862	3862
Unc50	1412	1412	1412	1412
Mgat4a	7211	7211	7251	7251
4930594C11Rik	2755	2755	2755	2755
2010300C02Rik	4361	4361	4361	4361
Tsga10	2767	2713	3607	4182
Lipt1	1555	1555	1555	1555
Mitd1	1229	1229	1229	1229
Mrpl30	691	691	691	691
Lyg2	2564	2564	2564	2564
Lyg1	798	798	798	798
Txndc9	4596	4596	4596	4596
Eif5b	7797	7797	7797	7797
Rev1	4262	4262	4262	4262
Aff3	7251	7251	7251	7251
Lonrf2	5077	5077	5077	5077
Chst10	3119	3119	3119	3119
Nms	1001	1001	1001	1001
Pdcl3	1706	1706	1706	1706
Mir6349	97	97	97	97
Npas2	4180	4180	4180	4180
Rpl31	1134	1111	1253	1253
Tbc1d8	4439	4439	4439	4439
Cnot11	3166	3166	3166	3166
Snord89	94	94	94	94
Rnf149	2434	2434	2434	2434
Creg2	5799	5799	5799	5799
Rfx8	2000	2000	2000	2000
Gm3646	359	359	359	359
1700066B17Rik	531	531	531	531
Map4k4	5631	5600	5782	5974
Gm16894	858	858	858	858
Il1r2	1344	1344	1344	1344
Il1r1	4773	4773	4808	5035
Il1rl2	1950	1950	1950	1950
Il1rl1	3758	3071	5299	7096
Il18r1	2623	1919	4158	4781
Il18rap	4889	4889	4889	4889
Slc9a4	3822	3822	3822	3822
Slc9a2	3493	3493	3493	3493
Mfsd9	3152	3152	3152	3152
Tmem182	1096	1096	1096	1096
4930448I06Rik	573	573	573	573
Pantr1	546	546	546	546
Pou3f3	3064	3064	3064	3064
2900092D14Rik	2841	2841	2841	2841
Pantr2	461	461	461	461
Dalir	2175	2175	2175	2175
Mrps9	1419	1419	1419	1419
Gpr45	3860	3860	3860	3860
Tgfbrap1	5538	5538	5538	5538
AI597479	3457	3457	3457	3457
Fhl2	1491	1491	1566	1677
Nck2	2775	2775	2775	2775
1500015O10Rik	888	888	888	888
Uxs1	1263	1263	1263	1263
Tpp2	4649	4649	4649	4649
Mettl21c	1086	1086	1086	1086
Tex30	1265	1265	1265	1265
